"uniprot_id"	"prediction_disorder_mobidb_lite"	"prediction_disorder_alphafold"	"hgnc_symbol"	"start_position"	"end_position"	"gene_biotype"
"44"	"A1KXE4"	NA	1	"FAM168B"	131047876	131093460	"protein_coding"
"45"	"A1KZ92"	NA	0.075	"PXDNL"	51319577	51809445	"protein_coding"
"46"	"A1L020"	0.217	0.6	"MEX3A"	156072013	156082465	"protein_coding"
"47"	"A1L0T0"	NA	0.038	"ILVBL"	15114984	15125786	"protein_coding"
"48"	"A1L157"	NA	0	"TSPAN11"	30926428	30996602	"protein_coding"
"49"	"A1L170"	0.688	1	"C1orf226"	162378841	162386812	"protein_coding"
"50"	"A1L188"	NA	0.162	"NDUFAF8"	81239305	81241310	"protein_coding"
"51"	"A1L190"	NA	0.659	"SYCE3"	50551112	50562919	"protein_coding"
"52"	"A1L1A6"	0.135	0.547	"IGSF23"	44613563	44636781	"protein_coding"
"53"	"A1L390"	0.524	0.683	"PLEKHG3"	64704102	64750249	"protein_coding"
"54"	"A1L4K1"	NA	0.266	"FSD2"	82755362	82806070	"protein_coding"
"55"	"A1X283"	0.515	0.6	"SH3PXD2B"	172325000	172454525	"protein_coding"
"56"	"A1Z1Q3"	0.431	0.471	"MACROD2"	13995369	16053197	"protein_coding"
"57"	"A2A288"	0.336	0.467	"ZC3H12D"	149446795	149485014	"protein_coding"
"58"	"A2A2Y4"	0.037	0.258	"FRMD3"	83242990	83538546	"protein_coding"
"59"	"A2A3K4"	0.09	0.363	"PTPDC1"	94030794	94109856	"protein_coding"
"60"	"A2A3L6"	0.223	0.321	"TTC24"	156579723	156587719	"protein_coding"
"61"	"A2AJT9"	0.496	0.999	"BCLAF3"	19912860	19991061	"protein_coding"
"62"	"A2PYH4"	0.036	0.402	"HFM1"	91260766	91404856	"protein_coding"
"63"	"A2RRD8"	NA	0.218	"ZNF320"	52860851	52897693	"protein_coding"
"64"	"A2RRP1"	NA	0.106	"NBAS"	15166916	15561340	"protein_coding"
"65"	"A2RTX5"	0.047	0.071	"TARS3"	101653596	101724473	"protein_coding"
"66"	"A2RU49"	NA	0	"HYKK"	78507564	78537372	"protein_coding"
"67"	"A2RU54"	0.557	0.795	"HMX2"	123148136	123150672	"protein_coding"
"68"	"A2RU67"	0.109	0.207	"FAM234B"	13044381	13142521	"protein_coding"
"69"	"A2RUB1"	0.067	0.825	"MEIOC"	44656404	44690308	"protein_coding"
"70"	"A2RUB6"	0.092	0.842	"CCDC66"	56557161	56621837	"protein_coding"
"71"	"A2RUC4"	NA	0.044	"TYW5"	199928913	199955736	"protein_coding"
"72"	"A2RUR9"	0.194	0.689	"CCDC144A"	16689537	16777881	"protein_coding"
"73"	"A2RUS2"	0.023	0.083	"DENND3"	141117278	141195808	"protein_coding"
"74"	"A2RUT3"	0.126	0.956	"TMEM89"	48620759	48621769	"protein_coding"
"75"	"A2RUU4"	NA	0.455	"CLPSL1"	35781019	35793675	"protein_coding"
"76"	"A2VDF0"	NA	0	"FUOM"	133355158	133358025	"protein_coding"
"77"	"A2VDJ0"	0.091	0.543	"TMEM131L"	153466346	153636711	"protein_coding"
"78"	"A3KMH1"	0.012	0.056	"VWA8"	41566835	41961120	"protein_coding"
"79"	"A3KN83"	0.125	0.297	"SBNO1"	123289109	123364847	"protein_coding"
"80"	"A4D0V7"	NA	0.156	"CPED1"	120988697	121297442	"protein_coding"
"81"	"A4D126"	0.064	0.091	"CRPPA"	16087525	16502504	"protein_coding"
"82"	"A4D161"	0.077	0.201	"FAM221A"	23680130	23703249	"protein_coding"
"83"	"A4D1B5"	NA	0.028	"GSAP"	77310751	77416349	"protein_coding"
"84"	"A4D1E9"	NA	0.062	"GTPBP10"	90335223	90391453	"protein_coding"
"85"	"A4D1F6"	0.12	0.172	"LRRD1"	92141643	92179531	"protein_coding"
"86"	"A4D1P6"	0.173	0.282	"WDR91"	135183839	135211555	"protein_coding"
"87"	"A4D1S5"	NA	0.171	"RAB19"	140404058	140427974	"protein_coding"
"88"	"A4D1T9"	NA	0.089	"PRSS37"	141836300	141841487	"protein_coding"
"89"	"A4D1U4"	0.136	0.209	"DENND11"	141656728	141702166	"protein_coding"
"90"	"A4D2B0"	0.233	0.117	"MBLAC1"	100126785	100128495	"protein_coding"
"91"	"A4D2P6"	0.205	0.47	"GRID2IP"	6496778	6551461	"protein_coding"
"92"	"A4FU49"	0.723	0.894	"SH3D21"	36306368	36329340	"protein_coding"
"93"	"A4FU69"	0.132	0.325	"EFCAB5"	29929200	30108452	"protein_coding"
"94"	"A4UGR9"	0.161	NA	"XIRP2"	166888480	167259753	"protein_coding"
"95"	"A5A3E0"	0.2	0.376	"POTEF"	130073535	130129222	"protein_coding"
"96"	"A5D8V6"	0.555	0.617	"VPS37C"	61130257	61161615	"protein_coding"
"97"	"A5LHX3"	0.23	0.29	"PSMB11"	23042212	23044060	"protein_coding"
"98"	"A5PL33"	0.708	0.983	"KRBA1"	149714781	149734575	"protein_coding"
"99"	"A5PLK6"	0.02	0.272	"RGSL1"	182409192	182560599	"protein_coding"
"100"	"A5PLL1"	0.058	0.689	"ANKRD34B"	80556755	80570280	"protein_coding"
"101"	"A5PLN9"	NA	0.036	"TRAPPC13"	65625004	65666233	"protein_coding"
"102"	"A5YKK6"	0.037	0.139	"CNOT1"	58519951	58629885	"protein_coding"
"103"	"A6BM72"	0.021	0.261	"MEGF11"	65895079	66253756	"protein_coding"
"104"	"A6H8Y1"	0.423	0.939	"BDP1"	1454100	1566305	"protein_coding"
"105"	"A6NC05"	0.246	0.681	"C5orf63"	127045235	127073506	"protein_coding"
"106"	"A6NC57"	0.112	0.378	"ANKRD62"	12093843	12129764	"protein_coding"
"107"	"A6NC86"	NA	0.083	"PINLYP"	43575801	43583964	"protein_coding"
"108"	"A6NC98"	0.284	0.399	"CCDC88B"	64340204	64357534	"protein_coding"
"109"	"A6NCF5"	NA	0.056	"KLHL33"	20425852	20436166	"protein_coding"
"110"	"A6NCI4"	0.063	0.202	"VWA3A"	22092538	22156964	"protein_coding"
"111"	"A6ND01"	NA	0.152	"IZUMO1R"	94304580	94308146	"protein_coding"
"112"	"A6ND36"	0.496	0.687	"FAM83G"	18968789	19004764	"protein_coding"
"113"	"A6NDB9"	0.761	0.881	"PALM3"	265204	273917	"protein_coding"
"114"	"A6NDG6"	NA	0.037	"PGP"	2211593	2214840	"protein_coding"
"115"	"A6NE01"	0.157	0.584	"FAM186A"	50326230	50396622	"protein_coding"
"116"	"A6NED2"	NA	0.096	"RCCD1"	90954881	90963125	"protein_coding"
"117"	"A6NEE1"	NA	0.263	"PLEKHD1"	69484692	69531551	"protein_coding"
"118"	"A6NEF3"	0.242	0.659	"GOLGA6L4"	84235773	84245358	"protein_coding"
"119"	"A6NEL2"	0.438	0.723	"SOWAHB"	76894152	76898144	"protein_coding"
"120"	"A6NES4"	0.016	0.03	"MROH2A"	233775679	233833423	"protein_coding"
"121"	"A6NFE2"	0.067	0.764	"SMCO2"	27446736	27502185	"protein_coding"
"122"	"A6NFE3"	NA	0.094	"EFCAB10"	105565120	105600875	"protein_coding"
"123"	"A6NFI3"	0.255	0.544	"ZNF316"	6637318	6658279	"protein_coding"
"124"	"A6NFQ2"	NA	0	"TCAF2"	143620952	143730410	"protein_coding"
"125"	"A6NFY4"	NA	0.18	"NEMP2"	190504338	190534722	"protein_coding"
"126"	"A6NFY7"	0.365	0.365	"SDHAF1"	35995188	35996312	"protein_coding"
"127"	"A6NG13"	NA	0.147	"MGAT4D"	140442262	140498377	"protein_coding"
"128"	"A6NGA9"	0.117	0.344	"TMEM202"	72398302	72408367	"protein_coding"
"129"	"A6NGB0"	0.063	0.524	"TMEM191C"	21466423	21471269	"protein_coding"
"130"	"A6NGC4"	0.133	0.144	"TLCD2"	132818	140466	"protein_coding"
"131"	"A6NGE4"	0.268	0.282	"DCAF8L1"	27977992	27981449	"protein_coding"
"132"	"A6NGH8"	NA	0.069	"ANKRD61"	6031376	6036552	"protein_coding"
"133"	"A6NH52"	NA	0.23	"TVP23A"	10760919	10818794	"protein_coding"
"134"	"A6NHL2"	NA	0	"TUBAL3"	5393101	5404828	"protein_coding"
"135"	"A6NHQ2"	0.29	0.29	"FBLL1"	168529305	168530634	"protein_coding"
"136"	"A6NHQ4"	0.567	1	"EPOP"	2707022	2710740	"protein_coding"
"137"	"A6NHR9"	0.012	0.045	"SMCHD1"	2655726	2805017	"protein_coding"
"138"	"A6NHX0"	NA	0.021	"CASTOR2"	74964705	75031528	"protein_coding"
"139"	"A6NHZ5"	NA	0.023	"LRRC14B"	191495	196334	"protein_coding"
"140"	"A6NI28"	0.2	0.311	"ARHGAP42"	100687288	100993941	"protein_coding"
"141"	"A6NI56"	NA	0.459	"CCDC154"	1434383	1444556	"protein_coding"
"142"	"A6NI79"	0.139	0.368	"CCDC69"	151181052	151224093	"protein_coding"
"143"	"A6NI86"	0.272	0.663	"GOLGA6L10"	82339993	82349475	"protein_coding"
"144"	"A6NIH7"	0.112	0.319	"UNC119B"	120710458	120723640	"protein_coding"
"145"	"A6NIK2"	0.158	0.226	"LRRC10B"	61508749	61511018	"protein_coding"
"146"	"A6NJ78"	NA	0.197	"METTL15"	28108248	28527041	"protein_coding"
"147"	"A6NJG2"	0.124	0.562	"SOWAHD"	119758588	119760202	"protein_coding"
"148"	"A6NJT0"	0.612	0.898	"UNCX"	1232872	1237326	"protein_coding"
"149"	"A6NK58"	NA	0	"LIPT2"	74490519	74493724	"protein_coding"
"150"	"A6NK59"	NA	0.087	"ASB14"	57268342	57292685	"protein_coding"
"151"	"A6NK89"	0.27	0.548	"RASSF10"	13009316	13012119	"protein_coding"
"152"	"A6NKD9"	0.356	0.685	"CCDC85C"	99500190	99604207	"protein_coding"
"153"	"A6NKN8"	0.662	0.985	"PCP4L1"	161258745	161285450	"protein_coding"
"154"	"A6NKP2"	0.076	0.145	"SDR42E2"	22162492	22192208	"protein_coding"
"155"	"A6NLC5"	0.2	0.944	"C3orf70"	185076838	185153060	"protein_coding"
"156"	"A6NM36"	NA	0.103	"LRRC30"	7231089	7232044	"protein_coding"
"157"	"A6NMK8"	0.45	0.871	"INSYN2B"	169861303	169980495	"protein_coding"
"158"	"A6NMX2"	0.174	0.252	"EIF4E1B"	176630618	176646644	"protein_coding"
"159"	"A6NMZ7"	0.144	0.196	"COL6A6"	130517177	130677044	"protein_coding"
"160"	"A6NN92"	NA	0.01	"GJE1"	142132925	142135358	"protein_coding"
"161"	"A6NNF4"	NA	0.195	"ZNF726"	23914876	23945159	"protein_coding"
"162"	"A6NNP5"	0.28	0.542	"CCDC169"	36222008	36297840	"protein_coding"
"163"	"A6NNV3"	0.109	0.516	"SPDYE16"	76531313	76543297	"protein_coding"
"164"	"A6NNY8"	NA	0.174	"USP27X"	49879484	49882558	"protein_coding"
"165"	"A6NNZ2"	0.054	0.025	"TUBB8B"	47221	73545	"protein_coding"
"166"	"A6PVI3"	NA	0.078	"NCBP2L"	107774899	107795829	"protein_coding"
"167"	"A6PVS8"	NA	0.548	"LRRIQ3"	74026015	74198187	"protein_coding"
"168"	"A7E2V4"	0.283	0.421	"ZSWIM8"	73785606	73801797	"protein_coding"
"169"	"A7KAX9"	0.183	0.793	"ARHGAP32"	128965060	129279324	"protein_coding"
"170"	"A7MCY6"	0.216	0.672	"TBKBP1"	47694161	47712052	"protein_coding"
"171"	"A7MD48"	0.917	1	"SRRM4"	118981541	119163051	"protein_coding"
"172"	"A7XYQ1"	0.308	0.887	"SOBP"	107490106	107661306	"protein_coding"
"173"	"A8CG34"	0.468	1	"POM121C"	75416786	75486299	"protein_coding"
"174"	"A8K0R7"	0.203	0.818	"ZNF839"	102317377	102342702	"protein_coding"
"175"	"A8K0Z3"	0.301	0.839	"WASHC1"	14475	73865	"protein_coding"
"176"	"A8K2U0"	NA	0.058	"A2ML1"	8822621	8887001	"protein_coding"
"177"	"A8K7I4"	NA	0.07	"CLCA1"	86468368	86500259	"protein_coding"
"178"	"A8K855"	0.095	0.126	"EFCAB7"	63523372	63572693	"protein_coding"
"179"	"A8K8P3"	0.059	0.655	"SFI1"	31488688	31618588	"protein_coding"
"180"	"A8K8V0"	0.16	0.299	"ZNF785"	30573740	30585769	"protein_coding"
"181"	"A8K979"	NA	0.595	"ERI2"	20780193	20900349	"protein_coding"
"182"	"A8MPS7"	NA	0.065	"YDJC"	21628089	21630064	"protein_coding"
"183"	"A8MPY1"	NA	0.266	"GABRR3"	97985102	98035315	"protein_coding"
"184"	"A8MQ14"	NA	0.133	"ZNF850"	36714383	36772825	"protein_coding"
"185"	"A8MQ27"	0.105	0.258	"NEURL1B"	172641263	172691540	"protein_coding"
"186"	"A8MT69"	NA	0.21	"CENPX"	82018702	82024107	"protein_coding"
"187"	"A8MT70"	0.116	0.92	"ZBBX"	167239843	167407874	"protein_coding"
"188"	"A8MTL3"	0.307	0.59	"RNF212B"	23185316	23273477	"protein_coding"
"189"	"A8MTT3"	NA	0.25	"CEBPZOS"	37196488	37216193	"protein_coding"
"190"	"A8MTZ0"	0.239	0.891	"BBIP1"	110898730	110919201	"protein_coding"
"191"	"A8MU93"	1	0.525	"C17orf100"	6651762	6693202	"protein_coding"
"192"	"A8MVS5"	0.196	0.552	"C19orf38"	10836575	10869790	"protein_coding"
"193"	"A8MVW0"	0.402	0.61	"FAM171A2"	44353215	44363853	"protein_coding"
"194"	"A8MVW5"	NA	0.323	"HEPACAM2"	93188534	93226469	"protein_coding"
"195"	"A8MVX0"	0.295	0.685	"ARHGEF33"	38889875	38975454	"protein_coding"
"196"	"A8MW92"	0.37	0.692	"PHF20L1"	132775358	132848807	"protein_coding"
"197"	"A8MXV4"	0.069	0.019	"NUDT19"	32691821	32713792	"protein_coding"
"198"	"A8MXY4"	NA	0.141	"ZNF99"	22752183	22784151	"protein_coding"
"199"	"A8MYZ0"	0.078	0.196	"MINDY4B"	150870376	150905439	"protein_coding"
"200"	"A8MYZ6"	0.407	0.829	"FOXO6"	41361922	41383590	"protein_coding"
"201"	"A8MZ36"	0.243	0.296	"EVPLL"	147757	159626	"protein_coding"
"202"	"A8MZ97"	0.284	0.974	"C2orf74"	61145068	61164828	"protein_coding"
"203"	"A8TX70"	0.111	0.223	"COL6A5"	130345516	130484846	"protein_coding"
"204"	"A9UHW6"	NA	0.045	"MIF4GD"	75266228	75271231	"protein_coding"
"205"	"B0I1T2"	NA	0	"MYO1G"	44962662	44979088	"protein_coding"
"206"	"B0YJ81"	0.219	0.243	"HACD1"	17589032	17617374	"protein_coding"
"207"	"B1AJZ9"	0.108	0.459	"FHAD1"	15236521	15400283	"protein_coding"
"208"	"B1AK53"	0.477	0.438	"ESPN"	6424776	6461367	"protein_coding"
"209"	"B1AKI9"	0.252	0.55	"ISM1"	13221274	13300651	"protein_coding"
"210"	"B1ANS9"	0.053	0.2	"WDR64"	241652278	241802777	"protein_coding"
"211"	"B1ATL7"	0.07	1	"PRR32"	126819729	126821786	"protein_coding"
"212"	"B2CW77"	NA	1	"KLLN"	77778	78311	"protein_coding"
"213"	"B2RTY4"	0.094	0.406	"MYO9A"	71822291	72118577	"protein_coding"
"214"	"B2RXF0"	0.234	0.245	"TMEM229A"	124030921	124033067	"protein_coding"
"215"	"B3KU38"	0.519	0.801	"IQCJ-SCHIP1"	158962235	159897358	"protein_coding"
"216"	"B4DS77"	0.217	0.842	"SHISA9"	12901598	13240416	"protein_coding"
"217"	"B4E2M5"	0.179	0.359	"ANKRD66"	46746933	46759506	"protein_coding"
"218"	"B5MCN3"	NA	0	"SEC14L6"	30522799	30546741	"protein_coding"
"219"	"B5MCY1"	0.011	0.21	"TDRD15"	21123968	21144368	"protein_coding"
"220"	"B7Z6K7"	NA	0.256	"ZNF814"	57848731	57889074	"protein_coding"
"221"	"B7ZAP0"	0.083	0.415	"RABGAP1L"	174159410	174995308	"protein_coding"
"222"	"B7ZBB8"	0.271	0.598	"PPP1R3G"	5085341	5089487	"protein_coding"
"223"	"C9J3V5"	0.173	1	"TEX22"	105398538	105450106	"protein_coding"
"224"	"C9J798"	0.029	0.042	"RASA4B"	102479976	102517777	"protein_coding"
"225"	"C9J7I0"	0.526	0.993	"UMAD1"	7640711	7968020	"protein_coding"
"226"	"C9JLW8"	0.309	0.876	"MCRIP1"	35854	46795	"protein_coding"
"227"	"C9JRZ8"	NA	0	"AKR1B15"	134549110	134579875	"protein_coding"
"228"	"C9JTQ0"	0.361	0.524	"ANKRD63"	40278372	40283064	"protein_coding"
"229"	"D6REC4"	0.044	0.484	"CFAP99"	2418955	2463002	"protein_coding"
"230"	"D6RGH6"	0.135	0.826	"MCIDAS"	55219564	55227315	"protein_coding"
"231"	"D6RIA3"	0.381	0.987	"C4orf54"	99636529	99657828	"protein_coding"
"232"	"E7ETH6"	NA	0.512	"ZNF587B"	57819721	57846238	"protein_coding"
"233"	"E7EW31"	0.778	0.991	"PROB1"	139390592	139395104	"protein_coding"
"234"	"E9PAV3"	0.632	0.95	"NACA"	56712305	56731628	"protein_coding"
"235"	"E9PB15"	0.151	0.669	"PTGES3L"	42968088	42980433	"protein_coding"
"236"	"E9PJ23"	0.195	0.948	"NPIPB6"	28342517	28363508	"protein_coding"
"237"	"E9PRG8"	0.512	0.626	"C11orf98"	62662817	62665210	"protein_coding"
"238"	"F8WBI6"	0.222	0.728	"GOLGA8N"	32593456	32607310	"protein_coding"
"239"	"H7BZ55"	0.086	0.269	"CROCC2"	240906330	240993311	"protein_coding"
"240"	"H7C241"	NA	0.084	"CLDN34"	9967358	9968352	"protein_coding"
"241"	"H7C350"	0.197	0.724	"CCDC188"	20148416	20151055	"protein_coding"
"242"	"L0R819"	0.292	0.24	"ASDURF"	189661452	189666437	"protein_coding"
"243"	"M0R2J8"	0.035	0.248	"DCDC1"	30830369	31369810	"protein_coding"
"244"	"O00115"	NA	0.064	"DNASE2"	12875209	12881595	"protein_coding"
"245"	"O00116"	0.099	0.119	"AGPS"	177392746	177567024	"protein_coding"
"246"	"O00124"	0.156	0.474	"UBXN8"	30729131	30767006	"protein_coding"
"247"	"O00139"	0.136	0.221	"KIF2A"	62306162	62391025	"protein_coding"
"248"	"O00141"	0.063	0.128	"SGK1"	134169248	134318112	"protein_coding"
"249"	"O00142"	0.106	0.174	"TK2"	66508003	66552544	"protein_coding"
"250"	"O00148"	0.08	0.103	"DDX39A"	14408798	14419383	"protein_coding"
"251"	"O00151"	NA	0.556	"PDLIM1"	95237572	95291012	"protein_coding"
"252"	"O00154"	0.082	0.166	"ACOT7"	6264269	6393767	"protein_coding"
"253"	"O00159"	NA	0.032	"MYO1C"	1464186	1492686	"protein_coding"
"254"	"O00160"	0.11	0.103	"MYO1F"	8520778	8577442	"protein_coding"
"255"	"O00161"	0.095	0.242	"SNAP23"	42491233	42545356	"protein_coding"
"256"	"O00165"	0.767	0.889	"HAX1"	154272355	154275875	"protein_coding"
"257"	"O00170"	NA	0.076	"AIP"	67468174	67491154	"protein_coding"
"258"	"O00178"	0.193	0.23	"GTPBP1"	38705742	38738299	"protein_coding"
"259"	"O00182"	NA	0.186	"LGALS9"	27629798	27649560	"protein_coding"
"260"	"O00186"	NA	0.039	"STXBP3"	108746674	108809523	"protein_coding"
"261"	"O00187"	NA	0.038	"MASP2"	11022009	11047239	"protein_coding"
"262"	"O00189"	NA	0.068	"AP4M1"	100100858	100110345	"protein_coding"
"263"	"O00192"	0.265	0.525	"ARVCF"	19969896	20016823	"protein_coding"
"264"	"O00193"	1	0.858	"C11orf58"	16613132	16758340	"protein_coding"
"265"	"O00203"	0.188	0.26	"AP3B1"	78000522	78294762	"protein_coding"
"266"	"O00206"	NA	0.093	"TLR4"	117704175	117724735	"protein_coding"
"267"	"O00213"	0.279	0.596	"APBB1"	6395125	6419414	"protein_coding"
"268"	"O00214"	NA	0.028	"LGALS8"	236518000	236552981	"protein_coding"
"269"	"O00217"	NA	0.371	"NDUFS8"	68030617	68036644	"protein_coding"
"270"	"O00220"	0.141	0.553	"TNFRSF10A"	23190452	23225102	"protein_coding"
"271"	"O00221"	0.448	0.544	"NFKBIE"	44258166	44265788	"protein_coding"
"272"	"O00222"	NA	0.108	"GRM8"	126438598	127253093	"protein_coding"
"273"	"O00231"	NA	0.064	"PSMD11"	32444379	32483319	"protein_coding"
"274"	"O00232"	NA	0.096	"PSMD12"	67337916	67366605	"protein_coding"
"275"	"O00233"	0.175	0.161	"PSMD9"	121888732	121918297	"protein_coding"
"276"	"O00244"	NA	0	"ATOX1"	151742316	151772532	"protein_coding"
"277"	"O00255"	0.151	0.207	"MEN1"	64803510	64811294	"protein_coding"
"278"	"O00257"	0.438	0.852	"CBX4"	79833156	79839440	"protein_coding"
"279"	"O00258"	NA	0	"GET1"	39377698	39428528	"protein_coding"
"280"	"O00264"	0.226	0.344	"PGRMC1"	119236245	119244466	"protein_coding"
"281"	"O00267"	0.328	0.424	"SUPT5H"	39436156	39476670	"protein_coding"
"282"	"O00268"	0.328	0.777	"TAF4"	61953469	62065881	"protein_coding"
"283"	"O00273"	0.082	0.293	"DFFA"	10456522	10472529	"protein_coding"
"284"	"O00287"	0.404	0.89	"RFXAP"	36819222	36829104	"protein_coding"
"285"	"O00291"	0.02	0.277	"HIP1"	75533298	75738962	"protein_coding"
"286"	"O00299"	NA	0	"CLIC1"	3035628	3044810	"protein_coding"
"287"	"O00300"	NA	0.08	"TNFRSF11B"	118923557	118951885	"protein_coding"
"288"	"O00303"	0.23	0.44	"EIF3F"	7970251	8001862	"protein_coding"
"289"	"O00305"	0.36	0.433	"CACNB4"	151832771	152099167	"protein_coding"
"290"	"O00308"	0.171	0.201	"WWP2"	69762328	69941741	"protein_coding"
"291"	"O00311"	NA	0.408	"CDC7"	91500851	91525764	"protein_coding"
"292"	"O00321"	NA	0.74	"ETV2"	35641745	35644871	"protein_coding"
"293"	"O00329"	0.025	0.03	"PIK3CD"	9629889	9729114	"protein_coding"
"294"	"O00330"	0.156	0.317	"PDHX"	34915829	35020591	"protein_coding"
"295"	"O00391"	0.082	0.312	"QSOX1"	180154869	180204030	"protein_coding"
"296"	"O00399"	NA	0.221	"DCTN6"	30156319	30183639	"protein_coding"
"297"	"O00400"	0.084	0.124	"SLC33A1"	155821024	155854456	"protein_coding"
"298"	"O00401"	0.434	0.6	"WASL"	123681943	123749003	"protein_coding"
"299"	"O00408"	0.056	0.107	"PDE2A"	72576141	72674591	"protein_coding"
"300"	"O00409"	0.386	0.796	"FOXN3"	89124871	89619149	"protein_coding"
"301"	"O00410"	NA	0	"IPO5"	97953658	98024296	"protein_coding"
"302"	"O00411"	0.064	0.135	"POLRMT"	617221	633537	"protein_coding"
"303"	"O00418"	0.223	0.273	"EEF2K"	22206278	22288738	"protein_coding"
"304"	"O00422"	0.131	0.19	"SAP18"	21140119	21149097	"protein_coding"
"305"	"O00423"	0.126	0.187	"EML1"	99737693	99942060	"protein_coding"
"306"	"O00425"	0.057	0.169	"IGF2BP3"	23310209	23470491	"protein_coding"
"307"	"O00429"	0.092	0.166	"DNM1L"	32679200	32745650	"protein_coding"
"308"	"O00442"	NA	0	"RTCA"	100266216	100292769	"protein_coding"
"309"	"O00443"	0.049	0.245	"PIK3C2A"	17077730	17207986	"protein_coding"
"310"	"O00444"	0.205	0.409	"PLK4"	127880893	127899224	"protein_coding"
"311"	"O00451"	0.065	0.304	"GFRA2"	21690398	21812357	"protein_coding"
"312"	"O00453"	0.402	1	"LST1"	31586124	31588909	"protein_coding"
"313"	"O00458"	0.153	0.255	"IFRD1"	112422887	112481017	"protein_coding"
